b'location_id',b'location'
195,"Gulf shores,AL"
196,"Hartford,AL"
197,"Homewood,AL"
198,"Fairhope,AL"
199,"Elberta,AL"
200,Huntsville 
201,Ahmadi 
202,"Leeds,AL"
203,"Gulf Shores,AL"
204,"Salem,AL"
205,"Enterprise,AL"
206,"Harvest,AL"
207,"Orange Beach,AL"
208,"Semmes,AL"
209,"Florala,AL"
210,"Trussville,AL"
211,"Ranburne,AL"
212,Shelby 
213,"Chelsea,AL"
214,"Attalla,AL"
215,"Rockford,AL"
216,"Albertville,AL"
217,"Columbia,AL"
218,"Madison,AL"
219,"Greendale,AL"
220,"Robertsdale,AL"
221,"Muscadine,AL"
222,"Andalusia,AL"
223,"Somerville,AL"
224,"Panama City,AL"
225,"Jacksonville,AL"
226,"Warrior,AL"
227,"Millry,AL"
228,"Deatsville,AL"
229,Old AL Hwy. 35 
230,"Cherokee,AL"
231,"Cordova,AL"
232,"Madison/east Limestone,AL"
233,"Theodore,AL"
234,"Brundidge,AL"
235,"Luverne,AL"
236,"Helena,AL"
237,"Cropwell,AL"
238,"Calera,AL"
239,"Lanett,AL"
240,"East Limestone,AL"
241,"Glencoe,AL"
242,"Geraldine,AL"
243,"Rainbow City,AL"
244,"Fort Morgan,AL"
245,"Scottsboro,AL"
246,"Jasper,AL"
247,"Hackleburg,AL"
248,"Gardendale,AL"
249,"mobile,AL"
250,"Dauphin Island,AL"
251,"Grand Bay,AL"
252,"Belgreen,AL"
253,"Fyffe,AL"
254,"Boaz,AL"
255,"Cottonwood,AL"
256,"Grandbay,AL"
257,Dauphin Island 
258,"Headland,AL"
259,"Hazel Green,AL"
260,"Muscle Shoals,AL"
261,"Wellington,AL"
262,"Brent,AL"
263,"Russellville,AL"
264,"Mountain Brook,AL"
265,"Lacy Springs,AL"
266,"Montgomery/Millbrook,AL"
267,"Cusseta &amp; Fairfax,AL"
268,"Talladega,AL"
269,"Hokes Bluff,AL"
270,"Corner,AL"
271,"Hurtsboro,AL"
272,"Guntersville,AL"
273,"Wadley,AL"
274,"Silverhill,AL"
275,"Parrish Alabama,AL"
276,"Holly Pond,AL"
277,"Opelika,AL"
278,"Peidmont,AL"
279,"Hayden,AL"
280,Roseau 
281,"Gurley,AL"
282,"McCalla,AL"
283,"Remlap,AL"
284,Eufaula 
285,"Elkmont,AL"
286,"Blountsville,AL"
287,"Heflin,AL"
288,"Woodville,AL"
289,"Wedowee,AL"
290,Luverne 
291,"Pell City,AL"
292,"Brookwood,AL"
293,"Prattville,AL"
294,"Foley/Elberta,AL"
295,"Northport,AL"
296,"Kellyton,AL"
297,"Brookside,AL"
298,"Sylacauga,AL"
299,"Brewton,AL"
300,"Nixburg,AL"
301,"Boldo,AL"
302,"New Hope,AL"
303,"Flomaton,AL"
304,"Moundville,AL"
305,"Selma,AL"
306,"Opp,AL"
307,"Greenville,AL"
308,"Gordo,AL"
309,"Irondale,AL"
310,"Oneonta,AL"
311,"Cedar Bluff,AL"
312,"Troy,AL"
313,Randburg 
314,"Coffeville,AL"
315,"Mobile Bay,AL"
316,"Ohatchee,AL"
317,"Bay Minette,AL"
318,"Citronelle,AL"
319,"Adamsville,AL"
320,"Valley Grande,AL"
321,"Eufaula,AL"
322,"Millbrook,AL"
323,"Irvington,AL"
324,"Ardmore,AL"
325,Pelham 
326,"Arley,AL"
327,"Double Springs,AL"
328,Athens 
329,Doha 
330,"Maylene,AL"
331,"Baldwin County,AL"
332,"Monrovia,AL"
333,"Lincoln,AL"
334,"Athens-East Limestone,AL"
335,"Boilgee,AL"
336,"Seminole,AL"
337,"Huntsvile,AL"
338,"Bessemer,AL"
339,"Troy to Montgomery,AL"
340,"Brantley,AL"
341,"Killen,AL"
342,"Frankfort,AL"
343,"Saraland,AL"
344,"Grant,AL"
345,"McKenzie,AL"
346,"Pine Level,AL"
347,"Smiths Station,AL"
348,"Danville,AL"
349,"Franklin County,AL"
350,"Bear Creek,AL"
351,"Satsuma,AL"
352,"Rehobeth,AL"
353,"North Mobile County,AL"
354,"Sylvania,AL"
355,"Phenix City &amp; Columbus,Ga,AL"
356,"Fairview,AL"
357,"Eldridge,AL"
358,"Leighton,AL"
359,"Petersville,AL"
360,"Sheffield,AL"
361,"Addison,AL"
362,Bessemer 
363,"Borden Springs,AL"
364,"Dutton,AL"
365,"Livingston,AL"
366,"Haleyville,AL"
367,"Flat Rock,AL"
368,"Dora,AL"
369,"Shelby,AL"
370,"Jackson,AL"
371,Alabama 
372,"Southside,AL"
373,"Australia,AL"
374,"Elmore,AL"
375,"Eastaboga,AL"
376,"Springville,AL"
377,"Bremen,AL"
378,"Pinson,AL"
379,"Sandrock,AL"
380,Vierfontein 
381,"Moulton,AL"
382,"Gulf  Shores,AL"
383,"Lawley,AL"
384,"Cusseta,AL"
385,"Wagarville,AL"
386,"Aliceville/Carrolton/Livingston,AL"
387,Melbourne 
388,"Foely,AL"
389,Gadsden 
390,"Grove Hill,AL"
391,Guaymas Sonora 
392,"Hueytown,AL"
393,"Mount Olive,AL"
394,"Dadeville,AL"
395,Montgomery 
396,Hoover 
397,"Smiths,AL"
398,"Gaylesville,AL"
399,"Chalybeate Springs,AL"
400,"Attalla/Gadsden,AL"
401,"Hoover/Bluff Park,AL"
402,"Piedmont,AL"
403,Silverhill 
404,"Rock Creek,AL"
405,"Hayneville,AL"
406,"Morris,AL"
407,"Wind Creek State Park,AL"
408,Tuscumbia/Cherokee 
409,Banks 
410,"Elba,AL"
411,"Crossville,AL"
412,"Hillsboro,AL"
413,"Chickasaw,AL"
414,"Union Grove,AL"
415,"Stockton,AL"
416,"Marion County,AL"
417,"Skipperville,AL"
418,"Sipsey,AL"
419,"Alabama,AL"
420,"Kimberly,AL"
421,"Fort. Deposit,AL"
422,"Lynn,AL"
423,Sterrett 
424,"Colombiana,AL"
425,"Weogufka,AL"
426,Leighton 
427,Leeds 
428,Tarrant 
429,"Valhermoso Springs,AL"
430,"Arab,AL"
431,"Cheaha Mountain,AL"
432,Pell City 
433,"Tuskegee National Forest @ HWY 85,AL"
434,"Hunstville,AL"
435,Shelby County airport 
436,Southside 
437,"Phoenix City,AL"
438,"Gunteersville,AL"
439,Heflin  
440,Birmingham 
441,Centreville/Selma 
442,"Rainsville,AL"
443,"St. Florian,AL"
444,"Columbus City,AL"
445,"Leesburg,AL"
446,Talladega 
447,"Indian Springs,AL"
448,"Collinsville,AL"
449,Manaus-Amazonas 
450,"Mountainboro,AL"
451,"Carbon Hill,AL"
452,Ardmore 
453,"Lake Martin,AL"
454,Interstate 65 
455,Anniston 
456,"Verbena,AL"
457,Auburn/Montgomery 
458,Calera 
459,"Colbert Heights,AL"
460,"Bridgeport,AL"
461,"Fort Rucker,AL"
462,"Monroeville,AL"
463,"Coldwater,AL"
464,"Fredonia,AL"
465,"Slocomb,AL"
466,Chambers County 
467,"Locust Fork,AL"
468,Thomasville 
469,"New Market,AL"
470,"Mentone,AL"
471,"Bradford,AL"
472,"Tarrant City,AL"
473,"Marion,AL"
474,"Waterloo,AL"
475,"Board Camp,AR"
476,"Helena,AR"
477,"Fort Chafee,AR"
478,"Russellville,AR"
479,"Jacksonville,AR"
480,Corning/Pocahontas 
481,"Conway,AR"
482,"Berryville,AR"
483,"Fountain Hill,AR"
484,"Centerton,AR"
485,St. Joe 
486,"Harrison,AR"
487,"Van Buren,AR"
488,"Highway I-40 Truck parking,AR"
489,"Mena,AR"
490,"Newport,AR"
491,"Fayetteville,AR"
492,"Corning,AR"
493,"Paragould,AR"
494,"Little Rock,AR"
495,"Gosnell,AR"
496,"Mountain Home,AR"
497,"Siloam Springs,AR"
498,"Alma,AR"
499,"Springdale,AR"
500,"Light,AR"
501,"Bentonville,AR"
502,"Pea Ridge,AR"
503,"Lexa,AR"
504,"Gum Springs,AR"
505,"Forrest City,AR"
506,"Luxora,AR"
507,"Pangburn,AR"
508,"Maumelle,AR"
509,"New Blaine,AR"
510,"Trumann,AR"
511,"Mount Ida,AR"
512,"Hot Springs,AR"
513,"Midway,AR"
514,"Alexander,AR"
515,"El Dorado,AR"
516,"Ouchita National Forest,AR"
517,"Lincoln,AR"
518,"Mayflower,AR"
519,"Leslie,AR"
520,"Russleville,AR"
521,"Greenbrier,AR"
522,"Marion,AR"
523,"Lowell,AR"
524,"London,AR"
525,"Star City,AR"
526,"Bryant,AR"
527,"Camden,AR"
528,"Bauxite,AR"
529,"Boonville,AR"
530,"Benton,AR"
531,"Magnolia,AR"
532,"Cabot,AR"
533,"McGehee,AR"
534,"Heber Springs,AR"
535,"Jonesboro,AR"
536,"Gurdon,AR"
537,"Rogers,AR"
538,"Clarksville,AR"
539,"Grannis,AR"
540,"Sherwood,AR"
541,Ft. Smith (60 mi. N of)
542,"Gassville,AR"
543,"Jasper,AR"
544,"Garfield,AR"
545,"Beaver Lake,AR"
546,"Judsonia,AR"
547,"Dardanelle,AR"
548,"North Little Rock,AR"
549,West Fork 
550,"Highfill,AR"
551,"Beebe,AR"
552,"Pleasant Grove,AR"
553,"Monticello,AR"
554,"Fordyce,AR"
555,"Beaver,AR"
556,"Lewisville,AR"
557,"Lockesberg,AR"
558,"Sherwood/North Little Rock,AR"
559,"Ozark,AR"
560,"Lonsdale,AR"
561,"Fort Smith,AR"
562,"Pocahontas,AR"
563,"Booneville,AR"
564,"Walnut Ridge,AR"
565,"Horseshoe Lake,AR"
566,"Black Rock,AR"
567,"Hartman,AR"
568,"Rudy,AR"
569,"Bryant/Benton,AR"
570,"Greenwood,AR"
571,"Briggsville,AR"
572,"Gilbert,AR"
573,"Mount Vernon,AR"
574,"White Hall,AR"
575,"Sunshine,AR"
576,"Dennard,AR"
577,"England,AR"
578,"Damascus,AR"
579,"Sims,AR"
580,"Umpire,AR"
581,"Hector,AR"
582,"Farmington,AR"
583,"Fifty Six,AR"
584,"Hampton,AR"
585,"Elkins,AR"
586,"Paris,AR"
587,"Saint Joe,AR"
588,"Clinton,AR"
589,"Lake Village,AR"
590,"Whitehall,AR"
591,"Bigelow,AR"
592,"Hagarville,AR"
593,"Eudora,AR"
594,"Wynne,AR"
595,"Smackover,AR"
596,"Atkins,AR"
597,"Bonnerdale,AR"
598,"Eureka Springs,AR"
599,"Gravette,AR"
600,"Osceola,AR"
601,"Waldenburg,AR"
602,"Waldo,AR"
603,"Cabot/Lonoke,AR"
604,"Searcy,AR"
605,"Ft. Smith,AR"
606,"War Eagle,AR"
607,"Greenbried,AR"
608,"Gillham,AR"
609,"Marked Tree,AR"
610,"Wilmont,AR"
611,"Bald Knob,AR"
612,Little Rock 
613,"Pangburn/Searcy,AR"
614,"Ward,AR"
615,"Decatur,AR"
616,"Buckner,AR"
617,"Morrilton,AR"
618,"Marshall,AR"
619,Arkansas 
620,"Cherokee Villiage,AR"
621,"Mulberry,AR"
622,"Bluff City,AR"
623,"Enerson,AR"
624,"West Memphis,AR"
625,"Scott,AR"
626,"Proctor,AR"
627,Arkansas/Oklahoma 
628,"Arden,AR"
629,"Batesville,AR"
630,"Holiday Island,AR"
631,"Lonoke,AR"
632,Washington 
633,Hope 
634,"Kingston,AR"
635,"Gentry,AR"
636,"Van Buren/Alma,AR"
637,"Calamine,AR"
638,"russlville,AR"
639,"Crystal Springs,AR"
640,"Texarkana,AR"
641,"Chester,AR"
642,"Pine Bluff,AR"
643,"Arkadelphia,AR"
644,"Alma KOA,AR"
645,"Little Rock/Maumell,AR"
646,"Flippin,AR"
647,"Metalton,AR"
648,"Holly Springs,AR"
649,"Henderson,AR"
650,Texarkana 
651,"Marble Falls,AR"
652,"Hickory Plains,AR"
653,"Mountain View,AR"
654,"Littlerock,AR"
655,"Mountian Home,AR"
656,"Louisville,AR"
657,"Eldorado,AR"
658,"LittleRock,AR"
659,"Unsure,AR"
660,"Kibler,AR"
661,"Camp Albert Pike,AR"
662,"Summers,AR"
663,"Prairie Grove,AR"
664,"Norfork,AR"
665,"West Little Rock,AR"
666,"Crumrod,AR"
667,"Ferndale,AR"
668,"Siloam Sprngs,AR"
669,"Snowball,AR"
670,"Cane Hill,AR"
671,"Royal,AR"
672,"Blytheville,AR"
673,"Goshen,AR"
674,"Austin,AR"
675,"Coal Hill,AR"
676,"Pottsville,AR"
677,"Social Hill,AR"
678,"Westlake Village,AR"
679,"Russelville,AR"
680,"I-40 West, mm 228,AR"
681,"Fountain Lake,AR"
682,"on highway,AR"
683,"Weona-Harrisburg-Waldenburg,AR"
684,Waldenburg/Harrisburg 
685,"Ashdown,AR"
686,"Oil Trough,AR"
687,"Hot Springs Village,AR"
688,"Dover,AR"
689,"Bono,AR"
690,"Sheridan,AR"
691,"Augusta,AR"
692,"Dora,AR"
693,"Success,AR"
694,"Charleston/Van Buren,AR"
695,Dardanelle 
696,Pleasent Grove 
697,"Knobel,AR"
698,"Horatio,AR"
699,"Doddridge,AR"
700,"Huntsville,AR"
701,"Daedanelle,AR"
702,"Rose Bud,AR"
703,"Chimes,AR"
704,"Monett,AR"
705,"Peach Orchard,AR"
706,"Stephens,AR"
707,"Hartford,AR"
708,"Salem,AR"
709,Fort Smith 
710,"Cherokee Village,AR"
711,"Greers Ferry,AR"
712,"Bee Branch,AR"
713,"Malvern,AR"
714,"Petit Jean Mountain,AR"
715,"Calico Rock,AR"
716,"Formosa,AR"
717,"Shirley,AR"
718,Timbo 
719,"Timbo,AR"
720,"Fulton,AR"
721,"Ponca,AR"
722,"Southwest,AR"
723,"Prairie   Grove,AR"
724,"Overcup,AR"
725,"Casa,AR"
726,"West Fork,AR"
727,Fayetteville 
728,Mountain Home 
729,Memphis 
730,"Glendale,AR"
731,"Hermitage,AR"
732,"Pine Mountain,AR"
733,"Dallas/Grant Counties,AR"
734,"White River National Forest,AR"
735,Conway 
736,Clarendon 
737,"Stuttgart,AR"
738,"McCrory,AR"
739,Marsden 
740,"Blyville,AR"
741,"Junction City,AR"
742,"Western Grove,AR"
743,Blytheville 
744,Ward 
745,"Story,AR"
746,"Morgan,AR"
747,"DeWitt,AR"
748,Vilonia 
749,Helena 
750,"Glenwood,AR"
751,"Trumann/Jonesboro,AR"
752,Ozark National Forest 
753,"Desert,AR"
754,Bismarck/Caddo Valley 
755,"Lake DeGray,AR"
756,"Vilonia,AR"
757,Moro (Lee Co.) and Brinkley (Monroe Co.) 
758,"Holland County,AR"
759,"Brooklyn,AR"
760,"Oxley,AR"
761,"Pinebergen,AR"
762,"Melbourne,AR"
763,"PottsVille,AR"
764,"Newell,AR"
765,"Prescott,AR"
766,"Avilla,AR"
767,Greers Ferry 
768,Omaha 
769,"Stamps,AR"
770,"Hardy,AR"
771,"Winslow,AR"
772,Glen Rose 
773,Alpena 
774,"Calion,AR"
775,"Tomberlin,AR"
776,"South Africa,AR"
777,"Heber Springs, Greers Ferry Lake,AR"
778,"Glen Rose,AR"
779,"Yellville,AR"
780,"Tontitown,AR"
781,"Scotland,AR"
782,Jonesboro 
783,"Springdale/Fayetteville,AR"
784,"Hope,AR"
785,"Dierks,AR"
786,"Phoenix,AZ"
787,"Yuma,AZ"
788,"Prescott,AZ"
789,"Mesa,AZ"
790,"Payson,AZ"
791,"Buckeye/Litchfield Park,AZ"
792,"Sun City West,AZ"
793,"Peoria,AZ"
794,"Tucson,AZ"
795,"Prescott Valley,AZ"
796,"Apache Junction,AZ"
797,"Avondale,AZ"
798,"Sahuarita,AZ"
799,"Queen Creek,AZ"
800,"Tempe,AZ"
801,"not sure,AZ"
802,"Maricopa,AZ"
803,"Chandler,AZ"
804,"Scottsdale,AZ"
805,"Gilbert,AZ"
806,"Sahaurita,AZ"
807,"San Tan Valley,AZ"
808,"New River,AZ"
809,"Anthem,AZ"
810,"Florence Jct./Reymart,AZ"
811,"Green Valley,AZ"
812,"Kayenta,AZ"
813,"Kingman,AZ"
814,"Marana,AZ"
815,"Glendale,AZ"
816,Benson 
817,"Lake Havasu City,AZ"
818,Gila Bend 
819,"Sweetwater,AZ"
820,"Congress,AZ"
821,"Rock Point,AZ"
822,"Florence,AZ"
823,"Globe,AZ"
824,"Golden Valley,AZ"
825,"Parker,AZ"
826,"Cochise County,AZ"
827,"El Mirage,AZ"
828,"Benson,AZ"
829,"Gila Bend,AZ"
830,"Sedona,AZ"
831,"Interstate 8,AZ"
832,"Buckeye,AZ"
833,"Grand Canyon,AZ"
834,"Surprise/Glendale,AZ"
835,"Camp Verde,AZ"
836,"Quartzsite,AZ"
837,"Gold Canyon,AZ"
838,"Oro Valley,AZ"
839,"Laveen,AZ"
840,"Mohave Valley,AZ"
841,"Wittmann,AZ"
842,"Sun City,AZ"
843,"Lakeside,AZ"
844,"Phoenix/Tempe,AZ"
845,"Wickenburg,AZ"
846,"Nelson,AZ"
847,"Wickieup,AZ"
848,"Surprise,AZ"
849,"Goodyear,AZ"
850,"Superior,AZ"
851,Wickieup 
852,"Clarkdale,AZ"
853,"Scottsdale/Northwest Mesa,AZ"
854,"Levene,AZ"
855,"Sacaton,AZ"
856,"Palm Springs,AZ"
857,Estrella 
858,"Wellton,AZ"
859,Casa Grande 
860,"Casa Grande,AZ"
861,"Paradise Valley,AZ"
862,"Dewey,AZ"
863,"Carefree,AZ"
864,"Tempe/Phoenix,AZ"
865,Phoenix 
866,"Jerome,AZ"
867,"Black Canyon City,AZ"
868,"Cottonwood,AZ"
869,"Bullhead City,AZ"
870,"York Valley,AZ"
871,"Coolidge,AZ"
872,"Safford,AZ"
873,"Scenic,AZ"
874,"Pearce,AZ"
875,Kingman 
876,"Lake Havasu,AZ"
877,"Litchfield Park,AZ"
878,"South Phoenix/Laveen,AZ"
879,"Paulden,AZ"
880,"Arizona City,AZ"
881,"Wheatfields,AZ"
882,"Tacna,AZ"
883,"Spring Valley,AZ"
884,"East Mesa,AZ"
885,"South Scottsdale,AZ"
886,"Cordes Lakes,AZ"
887,"Catalina Township,AZ"
888,"North Mountain area,AZ"
889,"Aguila,AZ"
890,"Sierra Vista,AZ"
891,"Utting,AZ"
892,Goodyear 
893,"Douglas,AZ"
894,"Twenty Nine Palms,AZ"
895,"Groom Creek wilderness area,AZ"
896,"Wikiup,AZ"
897,"Chino Valley,AZ"
898,"Avra Valley,AZ"
899,"Flagstaff,AZ"
900,"Queen creek,AZ"
901,"Cave Creek,AZ"
902,Vicksburg 
903,"Fountain Hills,AZ"
904,Surprise 
905,"South Phoenix,AZ"
906,"Waddell,AZ"
907,"Duncan,AZ"
908,"Dateland,AZ"
909,"Ash Fork,AZ"
910,"Gila River Indian Reservation,AZ"
911,Cottonwood 
912,"North Phoenix,AZ"
913,"Mesa/Chandler,AZ"
914,"Eloy,AZ"
915,Cascabels 
916,"Oracle,AZ"
917,"Witch Wells,AZ"
918,"Sedona area,AZ"
919,Tucson 
920,"Sedona/Cottonwood looking NE,AZ"
921,"Holbrook,AZ"
922,"Southwest desert,AZ"
923,"Grand Canyon Village,AZ"
924,"Fountain Hills/Scottsdale/North Phoenix,AZ"
925,"Three Points,AZ"
926,"Pima,AZ"
927,"Bullhead City/Fort Mohave,AZ"
928,Witch Wells 
929,"Cane Beds,AZ"
930,"Tombstone,AZ"
931,"Vail,AZ"
932,"Ahwatukee/Phx,AZ"
933,"Ahwatukee,AZ"
934,"Sun Lakes,AZ"
935,"Pine,AZ"
936,"Gila Bend-Aztec,AZ"
937,"Miami/Globe,AZ"
938,"Beaver Dam,AZ"
939,"Page,AZ"
940,"Quartzite,AZ"
941,"Thatcher,AZ"
942,"San Manuel,AZ"
943,"Avondale/Tolleson,AZ"
944,"Salome,AZ"
945,"Brenda,AZ"
946,Maricopa 
947,"Rio Rico,AZ"
948,"Nogales,AZ"
949,"Red Rock,AZ"
950,"Show Low,AZ"
951,Camp Verde 
952,"Winslow,AZ"
953,"Tumacacori,AZ"
954,"Eleven Mile Corner,AZ"
955,"Tsaile,AZ"
956,"Jacob Lake,AZ"
957,"Highway 5,AZ"
958,"Glendalemingle Dale,AZ"
959,"Cordes Junction,AZ"
960,"Sunset Point,AZ"
961,Area 51 
962,"Three-Points,AZ"
963,"Rio Verde,AZ"
964,"Prescott/Prescott Valley,AZ"
965,Fort Defiance 
966,"Estrella Mountain,AZ"
967,"East Mesa/Tempe,AZ"
968,"Scorrsdale,AZ"
969,Sedona 
970,Scottsdale 
971,"North Scottsdale,AZ"
972,"Tucson/OroValley,AZ"
973,"Table Top Mountain,AZ"
974,"Verde Valley,AZ"
975,"Fort Mohave,AZ"
976,"Black Canyon,AZ"
977,"Prescott National Forest,AZ"
978,"Sunflower,AZ"
979,Wilhoit 
980,"Wikieup,AZ"
981,"Wilcox,AZ"
982,Williams 
983,"Peach Springs,AZ"
984,"Mammoth,AZ"
985,"Surpise,AZ"
986,"Wilhoit,AZ"
987,"Lake Erling,AZ"
988,"Mesa/Tempe,AZ"
989,"Hackberry,AZ"
990,"Good Year,AZ"
991,Flagstaff 
992,"North Yuma,AZ"
993,"Mayer,AZ"
994,"Greenehaven,AZ"
995,"Strawberry,AZ"
996,Cibecue 
997,"Ganado,AZ"
998,Glendale 
999,Seligman 
1000,Globe/Miami 
1001,Grand Canyon 
1002,"Amado,AZ"
1003,"Snowflake,AZ"
1004,Yavapai 
1005,"Arizona/Californa Border,AZ"
1006,"Ahwatukee/Phoenix/Gilbert/Chandler,AZ"
1007,"Franconia,AZ"
1008,"Vicksburg,AZ"
1009,"Sierra Vita,AZ"
1010,"Mohawk,AZ"
1011,"Peoria/Phoenix/Tempe/Chandler,AZ"
1012,"Hwy 260/Hwy 277,AZ"
1013,"Chandler/Casa Grande,AZ"
1014,"Miami,AZ"
1015,"Kykotsmovi,AZ"
1016,"Chinle,AZ"
1017,"Bouse,AZ"
1018,"N. Phoenix,AZ"
1019,Mesa 
1020,"Cashion,AZ"
1021,Wikieup/Nothing 
1022,"Wikieup/Wickenburg,AZ"
1023,Congress 
1024,"Wenden,AZ"
1025,Highway 85 
1026,Winslow 
1027,"Springerville,AZ"
1028,Arizona or Colorano 
1029,"Circle City,AZ"
1030,Marana/Tucson 
1031,"Eagar,AZ"
1032,"Clay Springs,AZ"
1033,"Ajo,AZ"
1034,"Tuba City,AZ"
1035,"Tonopah,AZ"
1036,"Bagdad,AZ"
1037,"Gilbert/Chandler,AZ"
1038,"Wikieup/Kingman,AZ"
1039,"Mohawk Valley Mtns.,AZ"
1040,Interstate 8/Gila Bend Range 
1041,"Bellmont,AZ"
1042,"Lordsburg,AZ"
1043,"Whiteriver,AZ"
1044,"Village of Oak Creek,AZ"
1045,"Chandler/Gilbert/Mesa,AZ"
1046,"Close to Wellton,AZ"
1047,Wickenburg/Kingman 
1048,"Lupton,AZ"
1049,"Willcox,AZ"
1050,"Paysone,AZ"
1051,"Mexican Water,AZ"
1052,"Phoenix/Glendale,AZ"
1053,El Centro 
1054,"Palominas,AZ"
1055,"Solome,AZ"
