b'basic information',b'description'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 20:10  (Entered as : 02/20/2017 20:10)<BR>Reported: 2/20/2017 7:35:17 PM 19:35<BR>Posted: 2/22/2017<BR>Location: Parachute, CO<BR>Shape: Oval<BR>Duration:20</FONT></TD>'",b'COLOR=#000000>A bright light that hovered in the sky and seemed to emit different colors.  The shape seemed to change and the colors changed from green to blue and back etc.  Sometimes the light would dim then get bright again.  Then suddenly disappeared<BR><BR><BR>((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 20:00  (Entered as : 02/20/17 20:00)<BR>Reported: 2/21/2017 6:24:16 AM 06:24<BR>Posted: 2/22/2017<BR>Location: Butte, MT<BR>Shape: Triangle<BR>Duration:4 minutes</FONT></TD>'",b'COLOR=#000000>Walked out to smoke looked up.  There was a triangular object with orange lights traveling slowly.  Then it just went up straight up into the sky.</FONT></TD>'
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 19:20  (Entered as : 02/20/17 19:20)<BR>Reported: 2/21/2017 4:35:49 PM 16:35<BR>Posted: 2/22/2017<BR>Location: Merritt Island, FL<BR>Shape: Circle<BR>Duration:40+</FONT></TD>'","b""COLOR=#000000>Large orange orb not moving in the sky for at least 40 minutes and still there.<BR><BR>Looks like an orange orb standing still in the sky.  First thought it was the sun, but the sun had already set.  It\\'s just sitting there with no movement.  I\\'m looking south</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 18:40  (Entered as : 02/20/17 18:40)<BR>Reported: 2/21/2017 9:42:11 AM 09:42<BR>Posted: 2/22/2017<BR>Location: East Haven, CT<BR>Shape: Triangle<BR>Duration:~5 minutes</FONT></TD>'","b""COLOR=#000000>Flying craft spotted over the water in East Haven, moved along the streets out of sight.<BR><BR>I was driving home from work and came around the bend to see a few bright lights hovering over the water near Anthony\\'s Oceanside restaurant.  It looked like possibly a drone, but was enormous.  I assumed there was something going on at the resort and this was some kind of manned object.  However, as I drove out of sight, the houses were blocking my view, I noticed the lights seeming to move away from the water.  <BR><BR>As I rounded the corner towards the intersection, I saw the craft cross the intersection several hundred feet ahead of me.  It was hovering maybe 50 feet above the ground, it appeared to move over the powerlines, passing by the Morris Cove fire house and by the pizza place, down the road.  I did not follow.  It had red and white lights, and was triangular in shape as far as I could tell.  The lights hovering above the ground were the easiest thing to see in the darkness.  It looked to be at least the size of a large car, but much wider at the base.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 12:45  (Entered as : 02/20/17 12:45)<BR>Reported: 2/20/2017 10:46:30 AM 10:46<BR>Posted: 2/22/2017<BR>Location: Hiwassee, <BR>Shape: Egg<BR>Duration:15 seconds</FONT></TD>'","b'COLOR=#000000>Fast white hazy object larger than jet incredibly fast and noiseless and higher than 30K ft<BR><BR>Hazy sky.  Outside listening to radio.  Heard passenger jet from North following N/S jet lane at about 30K ft.  Turned around to watch it.  An oblong-shaped faint white object from East, heading westbound, crosses in front of passenger jet path.  Not a bird.  Not shining. At first I thought it crossed at altitude lower than jet.  But it passed through layers of haze at altitude above jet.  Not an altitude optical illusion as would be due to blending by an averaging reflection, rather by occultation from haze.  Object was never well-defined body as well as was the jet body. It &quot;gently&quot; changed course to SW path.  I estimate its speed at about Mach 2 to Mach 5.  Incredibly fast.  No contrail.  No shock front.  No sound other than passenger jet sound.  Silent object.  Larger than jet body.  Do not know what jet vendor was, but was like an MD-80 in general shape, two engines, leaving persistant contrail.  I cannot assign the object to anything I know of.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/20/2017 01:32  (Entered as : 02/20/2017 01:32)<BR>Reported: 2/19/2017 6:35:36 PM 18:35<BR>Posted: 2/22/2017<BR>Location: Illogan (UK/England; southwest region), <BR>Shape: Other<BR>Duration:30 minutes</FONT></TD>'","b'COLOR=#000000>Strange Big Big Boomerang Object In The Sky.<BR><BR>The object i saw in the United Kingdom was a boomerang shape, me and partner was walking on the beach here in Cornwall (Portreath Beach) we sat down by the cafe, and we heard a humming noise and an eerie silence we looked up and saw this big boomerang shape object we sat there for 3 minutes and stared at it.  All of sudden it dissapeared.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/19/2017 23:05  (Entered as : 2/19/2017 23:05)<BR>Reported: 2/19/2017 8:58:37 PM 20:58<BR>Posted: 2/22/2017<BR>Location: Cuyahoga Falls, OH<BR>Shape: Light<BR>Duration:6 seconds</FONT></TD>'","b'COLOR=#000000>4 bright light traveling single file, not making any sound.<BR><BR>I saw 4 bright white lights flying single file, evenly spaced, from NE to SW.  I was outside and heard no noise coming from the objects.<BR><BR></FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/19/2017 23:00  (Entered as : 02/19/17 23:00)<BR>Reported: 2/20/2017 2:00:02 PM 14:00<BR>Posted: 2/22/2017<BR>Location: Lindenwold, NJ<BR>Shape: Changing<BR>Duration:3 hours</FONT></TD>'","b""COLOR=#000000>Bright circular shapes changing colors and moving around the sky.<BR><BR>I know this is going to sound crazy... it sounds crazy even as I type it.  But, I\\'m sure that you\\'ve heard it all.  I swear to you that this is not a hoax or some psycho bullshit.  I am a VP of Communications for a bank and I never truly believed in UFOs until my best friend and roommate showed me the video she took last night on my camera.  <BR><BR>Last weekend, I saw something strange in the sky, but quickly blew it off because I thought my eyes were playing tricks on me. It was stationary... it looked like a very bright star, but every once awhile it looked like it was changing color and glowing a bit red.  I asked my friend at the time... do you see that?  Is it my eyes?  Does that star look like it\\'s glowing red?  She dismissed it pretty quickly and said, &quot;Maybe it\\'s Jupiter.  Sometimes you can see Jupiter in the night sky.&quot;  Okay.  Sounded plausible to me.  So, I stopped looking, continued to enjoy the fire in our firepit in our backyard and didn\\'t think about i! t again.<BR><BR>Well, last night, I wasn\\'t feeling well, so I went to bed early.  My friend had one of our other friends over for company and they were out back at the firepit.  They were looking at the night sky and commenting on how pretty it was because it was so clear and they could see so many stars.  It was then that they saw a bright glowing object that was moving in an odd way.  They continued to stare at it and realized that it definitely wasn\\'t a star.  It also was not a plane. It looked like it was changing shape slightly and it would get very bright, then start to dim and they could also see the faint changes in color.<BR><BR>She ran into the house to grab my camera. I have an expensive Canon camera that will zoom in 80x. It also takes video.  When she zoomed in and started the video, she could not believe what she was seeing.  And neither could I.  I am still stunned as I type this. It\\'s so hard to describe without you seeing it (we are trying to figure out how to download it from the camera and upload onto YouTube), but the circular light would start to flash colors that weren\\'t visible to the naked eye... you could only see it through the camera lense when it was magnified. It would flash colors and then look like it explodes - or radiates out - dissipates and then forms back into a bright circular light.  Almost like some sort of strange emanating force-field or something.  It would also move straight up, back down, to the right, the left, etc.  It\\'s the most amazing and strangest thing I\\'ve ever seen in my life.  She caught several of them on camera last night.<BR><BR>She and our other friend started looking early this morning online to see if there were other sightings and they only found one mention... oddly enough, it was happening at the same exact time they made their first sighting.  The videos are posted on YouTube from a family in Washington state.  You can clearly hear how shocked they were to be seeing what they were seeing.  I think they were taking their video from a cell phone and couldn\\'t zoom in nearly as close as we could, so you could see the same type of circular bright light, some of the faint colors, and see it moving, but you couldn\\'t see that weird emanating force-field thing that we experienced.  But, other than that, it looked like the same type of thing we were witnessing.  This couple (and their child) were seeing the same thing at the same time in Washington that we were experiencing right here in New Jersey.<BR><BR>I swear to you this is a not a joke and we have something really incredible on video tape. We need to figure out a way to get it to you... and we also wanted to ask if you knew of any reputable places that could analyze it.  We hesitate to send it to NASA after our research today - especially since apparently last night, they cut their live satellite feed when six unidentified objects flew past it.  So, why would they cut the feed? This is all just too strange. And, like I said, I know it sounds crazy.  But, I know I\\'m not crazy. I know what I\\'m seeing on my own camera and I know what my best friend is telling me that she saw with her own eyes and I believe her.  Our friend who was over works for the Department of Agriculture for the State of NJ and he couldn\\'t believe his eyes either.  He had never seen anything like it in his entire life and said that he\\'s going to be researching it today with whoever will listen to him and talk to him about it.<BR><BR>All I know is that we saw something.... something that definitely is NOT from this Earth, I can guarantee you that.</FONT></TD>"""
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/19/2017 22:50  (Entered as : 2/19/17 22:50)<BR>Reported: 2/19/2017 11:43:40 PM 23:43<BR>Posted: 2/22/2017<BR>Location: Toledo, OH<BR>Shape: Other<BR>Duration:4 seconds</FONT></TD>'","b'COLOR=#000000>A faint line of light was moving east to West,in the northern sky, at a fairly high rate of speed.  It got slightly to the west of my position and approximately 8-10 objects appeared in the line of light.  All were in a straight line except one of them.  The other was along the lead one in the line.  The light was more like a glow around the formation.  The objects seemed to have sort of a hex shaped front end with straight sides with rounded off corners in back of objects.</FONT></TD>'"
"b'COLOR=#000000><CAPTION><B>National UFO Reporting Center</B></CAPTION></FONT>\\r\\n\\r\\n<THEAD>\\r\\n<TR>\\r\\n<TH BGCOLOR=#c0c0c0 BORDERCOLOR=#000000 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Sighting Report</FONT></TH>\\r\\n\\r\\n</TR>\\r\\n</THEAD>\\r\\n<TBODY>\\r\\n<TR VALIGN=TOP>\\r\\n<TD BORDERCOLOR=#d0d7e5 ><FONT style=FONT-SIZE:11pt FACE=""Calibri"" COLOR=#000000>Occurred : 2/19/2017 22:30  (Entered as : 02/19/17 22:30)<BR>Reported: 2/20/2017 7:23:34 PM 19:23<BR>Posted: 2/22/2017<BR>Location: Atchison, KS<BR>Shape: Unknown<BR>Duration:10 seconds</FONT></TD>'",b'COLOR=#000000>Object appeared to be at extremely high altitude moving from north to south without sound and at 2500+ mph.  I could see it moving south for about 15 miles in less than 10 seconds then suddenly taking abrupt right turn heading west and disappearing from view in 2-3 seconds.  It had one visible non flashing dim white light as it approached and two dim red lights as it flew west and vanished.  Appeared to be flying near outer space.  Sharp west turn seemed impossible for piloted flight within earths atmosphere at the incredible speed object was traveling.  I guess it to be some type of space survellance craft because no sound detected.</FONT></TD>'
